ID,Sport,League,Home,Away,Time,Odds Count
football:cs cartaginés:ld alajuelense:20260122,football,Primera Division Costa Rica,CS Cartaginés,LD Alajuelense,2026-01-22 02:00:00,115
football:cseal:cruzeiroal:20260118,football,Alagoano,CSE-AL,Cruzeiro-AL,2026-01-18 19:00:00,68
football:csikszereda miercurea ciuc:botoşani:20260118,football,Liga I,Csikszereda Miercurea Ciuc,FC Botoşani,2026-01-18 13:30:00,157
football:córdoba:málaga:20260118,football,La Liga 2,Córdoba CF,Málaga,2026-01-18 20:00:00,154
football:cúcuta deportivo:once caldas manizales:20260119,football,Liga Dimayor,Cúcuta Deportivo,Once Caldas Manizales,2026-01-19 21:00:00,134
football:dag red:dover athletic:20260120,football,National League Södra,Dag & Red,Dover Athletic,2026-01-20 19:45:00,71
football:danmark:nordmakedonien:20260326,football,VM-kval slutspel,Danmark,Nordmakedonien,2026-03-26 13:00:00,120
football:darmstadt 98:nürnberg:20260123,football,2. Bundesliga,Darmstadt 98,1. FC Nürnberg,2026-01-23 17:30:00,157
football:de charleroi:standard liège:20260118,football,Jupiler Pro League,Sporting de Charleroi,Standard Liège,2026-01-18 17:30:00,162
football:de graafschap:rkc waalwijk:20260123,football,Eerste Divisie,De Graafschap,RKC Waalwijk,2026-01-23 19:00:00,162
football:de marseille:liverpool:20260121,football,Champions League,Olympique de Marseille,Liverpool FC,2026-01-21 20:00:00,62
football:de treffers:nec nijmegen:20260120,football,KNVB Beker,De Treffers,NEC Nijmegen,2026-01-20 17:45:00,135
football:defence force sc etp:saint george:20260122,football,Premier League,Defence Force SC (ETP),Saint George FC,2026-01-22 13:00:00,37
football:defence force:central:20260122,football,TT Premier Football League,Defence Force,Central FC,2026-01-22 00:00:00,76
football:deportes tolima:alianza:20260124,football,Liga Dimayor,Deportes Tolima,Alianza FC,2026-01-24 01:30:00,118
football:deportivo cali:independiente medellín:20260124,football,Liga Dimayor,Deportivo Cali,Independiente Medellín,2026-01-24 23:20:00,114
football:deportivo pasto:independiente medellín:20260118,football,Liga Dimayor,Deportivo Pasto,Independiente Medellín,2026-01-18 19:00:00,137
football:deportivo pereira:fortaleza:20260124,football,Liga Dimayor,Deportivo Pereira,Fortaleza FC,2026-01-24 19:00:00,119
football:deportivo recoleta:sportivo trinidense:20260123,football,Primera Paraguay,Deportivo Recoleta,Sportivo Trinidense,2026-01-23 21:00:00,141
football:dinamo bucureşti:universitatea cluj:20260118,football,Liga I,Dinamo Bucureşti,Universitatea Cluj,2026-01-18 18:30:00,150
football:doncaster rovers d:huddersfield town d:20260118,football,National League (d),Doncaster Rovers (d),Huddersfield Town (d),2026-01-18 16:00:00,16
football:doncaster rovers:wigan athletic:20260124,football,League One,Doncaster Rovers,Wigan Athletic,2026-01-24 15:00:00,153
football:dordrecht:den bosch:20260123,football,Eerste Divisie,FC Dordrecht,FC Den Bosch,2026-01-23 19:00:00,159
football:dundee united:st mirren:20260124,football,Scottish Premiership,Dundee United,St Mirren,2026-01-24 15:00:00,145
football:durham cestria w:stockport county w:20260118,football,National League (d),Durham Cestria (W),Stockport County (W),2026-01-18 14:00:00,16
football:dvsc debreceni:diósgyőri vtk:20260125,football,NB 1,DVSC Debreceni,Diósgyőri VTK,2026-01-25 12:00:00,164
