ID,Sport,League,Home,Away,Time,Odds Count
basketball:north texas mean green:tulane green wave:20260118,basketball,College Basketball,North Texas Mean Green,Tulane Green Wave,2026-01-18 22:00:00,6
basketball:north texas mean green:uab blazers w:20260121,basketball,College Women's Basketball,North Texas Mean Green,UAB Blazers (W),2026-01-21 00:00:00,2
basketball:northeastern huskies:hofstra pride w:20260118,basketball,College Women's Basketball,Northeastern Huskies,Hofstra Pride (W),2026-01-18 19:00:00,2
basketball:northeastern huskies:monmouth hawks:20260117,basketball,College Basketball,Northeastern Huskies,Monmouth Hawks,2026-01-17 05:00:00,2
basketball:northeastern huskies:monmouth hawks:20260119,basketball,College Basketball,Northeastern Huskies,Monmouth Hawks,2026-01-19 16:00:00,2
basketball:northern arizona lumberjacks:montana grizzlies w:20260119,basketball,College Women's Basketball,Northern Arizona Lumberjacks,Montana Grizzlies (W),2026-01-19 21:00:00,2
basketball:northern colorado bears:montana state bobcats w:20260120,basketball,College Women's Basketball,Northern Colorado Bears,Montana State Bobcats (W),2026-01-20 02:00:00,2
basketball:northwestern wildcats:illinois fighting illini w:20260118,basketball,College Women's Basketball,Northwestern Wildcats,Illinois Fighting Illini (W),2026-01-18 20:00:00,2
basketball:notre dame fighting irish:connecticut huskies w:20260119,basketball,College Women's Basketball,Notre Dame Fighting Irish,Connecticut Huskies (W),2026-01-19 22:00:00,2
basketball:nuggets:bucks:20260124,basketball,NBA,Nuggets,Bucks,2026-01-24 02:30:00,2
basketball:nuggets:wizards:20260123,basketball,NBA,Nuggets,Wizards,2026-01-23 00:00:00,2
basketball:oakland golden grizzlies:detroit titans w:20260118,basketball,College Women's Basketball,Oakland Golden Grizzlies,Detroit Titans (W),2026-01-18 18:00:00,2
basketball:oakland golden grizzlies:green bay phoenix:20260118,basketball,College Basketball,Oakland Golden Grizzlies,Green Bay Phoenix,2026-01-18 19:00:00,6
basketball:ohio bobcats:ball state cardinals:20260117,basketball,College Basketball,Ohio Bobcats,Ball State Cardinals,2026-01-17 05:00:00,2
basketball:ohio state buckeyes:tcu horned frogs w:20260119,basketball,College Women's Basketball,Ohio State Buckeyes,TCU Horned Frogs (W),2026-01-19 17:00:00,2
basketball:oklahoma sooners:mississippi state bulldogs:20260106,basketball,College Basketball,Oklahoma Sooners,Mississippi State Bulldogs,2026-01-06 05:00:00,2
basketball:ole miss rebels:georgia bulldogs w:20260118,basketball,College Women's Basketball,Ole Miss Rebels,Georgia Bulldogs (W),2026-01-18 17:00:00,2
basketball:olimpico:san martin de corrientes:20260119,basketball,Argentine LNB,Olimpico,San Martin de Corrientes,2026-01-19 00:30:00,2
basketball:oregon ducks:wisconsin badgers w:20260118,basketball,College Women's Basketball,Oregon Ducks,Wisconsin Badgers (W),2026-01-18 21:00:00,2
basketball:pacers:celtics:20260122,basketball,NBA,Pacers,Celtics,2026-01-22 00:30:00,2
basketball:pacers:sixers:20260120,basketball,NBA,Pacers,76ers,2026-01-20 00:00:00,2
basketball:pacers:thunder:20260124,basketball,NBA,Pacers,Thunder,2026-01-24 01:00:00,2
basketball:pallacanestro cantu:pallacanestro brescia:20260118,basketball,Basketball Serie A,Pallacanestro Cantu,Pallacanestro Brescia,2026-01-18 19:00:00,2
basketball:pallacanestro trieste:dinamo sassari:20260124,basketball,Basketball Serie A,Pallacanestro Trieste,Dinamo Sassari,2026-01-24 19:00:00,2
basketball:pallacanestro varese:reyer venezia:20260118,basketball,Basketball Serie A,Pallacanestro Varese,Reyer Venezia,2026-01-18 15:00:00,2
basketball:paris basketball:le mans:20260118,basketball,French Pro A,Paris Basketball,Le Mans,2026-01-18 18:00:00,2
basketball:pelicans:grizzlies:20260124,basketball,NBA,Pelicans,Grizzlies,2026-01-24 01:00:00,2
basketball:pelicans:rockets:20260119,basketball,NBA,Pelicans,Rockets,2026-01-19 00:00:00,10
basketball:penn quakers:harvard crimson:20260119,basketball,College Basketball,Penn Quakers,Harvard Crimson,2026-01-19 19:00:00,2
basketball:penn state nittany lions:akron zips:20251112,basketball,College Basketball,Penn State Nittany Lions,Akron Zips,2025-11-12 05:00:00,2
basketball:penn state nittany lions:maryland terrapins:20260118,basketball,College Basketball,Penn State Nittany Lions,Maryland Terrapins,2026-01-18 17:00:00,6
basketball:penn stateshenango nittany lions:st francis pa red flash:20251123,basketball,College Basketball,Penn State-Shenango Nittany Lions,St. Francis (PA) Red Flash,2025-11-23 05:00:00,2
basketball:perth wildcats:cairns taipans:20260122,basketball,NBL Australia,Perth Wildcats,Cairns Taipans,2026-01-22 10:30:00,2
basketball:perth wildcats:melbourne united:20260125,basketball,NBL Australia,Perth Wildcats,Melbourne United,2026-01-25 05:30:00,2
basketball:pistons:pelicans:20260122,basketball,NBA,Pistons,Pelicans,2026-01-22 01:00:00,2
basketball:princeton tigers:dartmouth big green:20260119,basketball,College Basketball,Princeton Tigers,Dartmouth Big Green,2026-01-19 23:00:00,2
basketball:providence friars:marquette golden eagles:20260119,basketball,College Basketball,Providence Friars,Marquette Golden Eagles,2026-01-19 23:00:00,2
basketball:providence friars:seton hall pirates w:20260121,basketball,College Women's Basketball,Providence Friars,Seton Hall Pirates (W),2026-01-21 00:00:00,2
basketball:purdue boilermakers:usc trojans w:20260118,basketball,College Women's Basketball,Purdue Boilermakers,USC Trojans (W),2026-01-18 22:00:00,2
basketball:quimsa:san martin de corrientes:20260121,basketball,Argentine LNB,Quimsa,San Martin de Corrientes,2026-01-21 01:10:00,2
basketball:quinnipiac bobcats:merrimack college warriors w:20260119,basketball,College Women's Basketball,Quinnipiac Bobcats,Merrimack College Warriors (W),2026-01-19 17:00:00,2
basketball:raptors:blazers:20260124,basketball,NBA,Raptors,Trail Blazers,2026-01-24 03:00:00,2
basketball:raptors:kings:20260122,basketball,NBA,Raptors,Kings,2026-01-22 03:00:00,2
basketball:raptors:lakers:20260119,basketball,NBA,Raptors,Lakers,2026-01-19 02:30:00,10
basketball:raptors:warriors:20260121,basketball,NBA,Raptors,Warriors,2026-01-21 03:00:00,2
basketball:real madrid:valencia:20260118,basketball,ACB Liga Endesa,Real Madrid,Valencia,2026-01-18 18:00:00,2
basketball:rice owls:tulsa golden hurricane w:20260121,basketball,College Women's Basketball,Rice Owls,Tulsa Golden Hurricane (W),2026-01-21 00:30:00,2
basketball:rider broncs:delaware fightin blue hens:20251213,basketball,College Basketball,Rider Broncs,Delaware Fightin' Blue Hens,2025-12-13 05:00:00,2
basketball:rider broncs:manhattan jaspers w:20260120,basketball,College Women's Basketball,Rider Broncs,Manhattan Jaspers (W),2026-01-20 00:00:00,2
basketball:robert morris colonials:cleveland state vikings w:20260118,basketball,College Women's Basketball,Robert Morris Colonials,Cleveland State Vikings (W),2026-01-18 19:00:00,2
basketball:roberts wesleyan redhawks:liu sharks:20251108,basketball,College Basketball,Roberts Wesleyan Redhawks,LIU Sharks,2025-11-08 21:00:00,2
basketball:rockets:pistons:20260124,basketball,NBA,Rockets,Pistons,2026-01-24 00:00:00,2
basketball:rockets:sixers:20260123,basketball,NBA,Rockets,76ers,2026-01-23 00:00:00,2
basketball:rutgers scarlet knights:penn state nittany lions w:20260118,basketball,College Women's Basketball,Rutgers Scarlet Knights,Penn State Nittany Lions (W),2026-01-18 18:00:00,2
